Expression: painstaking work; travail de fourmi
He decided to proceed with the project against all odds; Il a décidé de poursuivre le projet contre toute attente.

Expression: water hammer; coup de bélier
water hammer; The sudden banging noise in the pipes was caused by water hammer.; Le bruit de claquement soudain dans les canalisations était provoqué par un coup de bélier.
tip of the iceberg; The audit revealed only the tip of the iceberg regarding financial irregularities.; L'audit n'a révélé que la partie émergée de l'iceberg en ce qui concerne les irrégularités financières.
to hit the nail on the head; She hit the nail on the head with her analysis of the issue.; Elle a touché dans le mille avec son analyse de la situation.
to be a cakewalk; The presentation turned out to be a cakewalk for the experienced speaker.; La présentation s'est révélée être une promenade de santé pour l'orateur expérimenté.
to break the ice; Playing a fun icebreaker game helped break the ice at the team meeting.; Jouer à un jeu de brise-glace amusant a aidé à briser la glace lors de la réunion d'équipe.
to be in hot water; After missing the deadline, he found himself in hot water with his boss.; Après avoir manqué le délai, il s'est retrouvé dans de beaux draps avec son patron.
to spill the beans; She couldn't keep the secret any longer and ended up spilling the beans to her best friend.; Elle n'a pas pu garder le secret plus longtemps et a fini par vendre la mèche à sa meilleure amie.
to keep one's head above water; Despite the challenges, she managed to keep her head above water and stay afloat.; Malgré les difficultés, elle a réussi à garder la tête hors de l'eau et à rester à flot.
to be a drop in the bucket; The donation was generous, but it felt like a drop in the bucket compared to the fundraising goal.; Le don était généreux, mais il semblait être une goutte d'eau dans l'océan par rapport à l'objectif de collecte de fonds.
to be all ears; When it comes to hearing about the latest gossip, she's all ears.; Quand il s'agit d'entendre les derniers potins, elle est tout ouïe.

Expression: love at first sight; coup de foudre
Love at first sight; Coup de foudre
She knew he was the one the moment she saw him—it was love at first sight.; Elle a su qu'il était celui dès qu'elle l'a vu—c'était le coup de foudre.

Heart of gold; Cœur d'or
Everyone admires her for having a heart of gold, always ready to help others.; Tout le monde l'admire pour avoir un cœur d'or, toujours prête à aider les autres.

Bite the bullet; Serrer les dents
Despite the pain, she had to bite the bullet and finish the race.; Malgré la douleur, elle a dû serrer les dents et finir la course.

Cry over spilled milk; Pleurer sur le lait renversé
There was no use crying over spilled milk—she needed to find a solution to the problem.; Il ne servait à rien de pleurer sur le lait renversé—elle devait trouver une solution au problème.

Drop in the bucket; Goutte d'eau dans l'océan
Her donation was just a drop in the bucket compared to what was needed for the charity.; Son don n'était qu'une goutte d'eau dans l'océan par rapport à ce qui était nécessaire pour l'association caritative.

Face the music; Affronter la réalité
It was time for him to face the music and accept the consequences of his actions.; Il était temps pour lui d'affronter la réalité et d'accepter les conséquences de ses actes.

Go the extra mile; Faire un effort supplémentaire
In order to succeed, sometimes you need to go the extra mile and put in more effort than expected.; Pour réussir, parfois il faut faire un effort supplémentaire et fournir plus d'efforts que prévu.

Hit the nail on the head; Toucher dans le mille
His explanation hit the nail on the head, clarifying the issue for everyone.; Son explication a touché dans le mille, clarifiant le problème pour tout le monde.

Jump on the bandwagon; Sauter dans le train en marche
She decided to jump on the bandwagon and try the new trendy diet everyone was talking about.; Elle a décidé de sauter dans le train en marche et d'essayer le nouveau régime à la mode dont tout le monde parlait.

Kick the bucket; Casser sa pipe
He always joked that he would kick the bucket at 100 years old, surrounded by his grandchildren.; Il plaisantait toujours en disant qu'il casserait sa pipe à 100 ans, entouré de ses petits-enfants.

Expression: crush; coup de foudre
She has a crush on her English teacher; Elle a le béguin pour son professeur d'anglais.
Il a une crush sur sa voisine depuis des mois; He's been crushing on his neighbor for months.
Their first date was a bit awkward but he quickly developed a crush on her; Leur premier rendez-vous était un peu gênant mais il a rapidement eu un coup de cœur pour elle.
She couldn't stop thinking about him, she realized she had a crush; Elle ne pouvait pas arrêter de penser à lui, elle a réalisé qu'elle était amoureuse.
He thought she was out of his league, but he still had a crush on her; Il pensait qu'elle était hors de sa portée, mais il avait quand même le béguin pour elle.
She couldn't hide her crush on her coworker anymore; Elle ne pouvait plus cacher son attirance pour son collègue.
The moment he saw her, he knew he had a crush on her; Dès qu'il l'a vue, il a su qu'il était amoureux d'elle.
He would get nervous every time she was around, a clear sign of his crush on her; Il devenait nerveux à chaque fois qu'elle était dans les parages, un signe évident de son attirance pour elle.
He couldn't believe it when he found out she had a crush on him too; Il n'en croyait pas ses yeux quand il a découvert qu'elle avait aussi le béguin pour lui.
